"","newid","region","fam_type","earncomp","bls_urbn","cutenure","age_ref","sex_ref","marital1","educ_ref","inclass","kids","inc","inc.a","food","house","transport","utili","health","enter"
"27185","03341471","3","8","1","1","1",44,"2","5","15","09",0,67155,77880,2773.3332,12018.6668,956,1504,3744,2320
"27190","03150744","2","8","1","1","4",50,"1","3","16","09",0,103667,140000,17770.6668,28416,11112,4176,18613.3328,4672
"27191","03249872","1","8","1","1","1",61,"2","3","16","09",0,99580,117510,5988,27672,15692,7144,4096,5468
"27192","03195363","4","8","1","1","4",41,"2","3","15","09",0,89967,120000,6448,18108,1572,1012,5328,1372
"27201","03195563","2","8","1","2","1",57,"2","5","13","05",0,21616,23000,2140,5418,1372,1840,4928,2316
"27202","03341711","3","8","1","1","4",36,"2","5","13","06",0,27402,30000,7973.3332,8584,1653.3332,2424,3356.8,360
"27204","03096784","1","8","1","1","4",58,"2","5","14","06",0,30492.8,34990.8,3380,18036,2968,2860,46272,2448
"27205","03348501","4","8","1","1","1",54,"2","3","12","09",0,77938,99000,1820,6454.6668,2760,956,3194.6672,512
"27217","03341991","3","8","1","1","1",50,"1","5","16","09",0,79885,100179,1386.6668,9592,1200,2148,3744,396
"27218","03151244","1","8","1","1","1",51,"1","3","11","09",0,74557,90080,450.6668,15576,1712,1748,773.3328,480
"27219","03326221","2","8","1","1","1",27,"2","5","16","07",0,37315,42383,4040,14072,2160,2136,3040,728
"27224","03151324","3","8","1","1","4",30,"2","5","15","04",0,16763.8,18348.8,3813.3332,7212,1000,1772,1802.6672,1216
"27225","03188363","3","8","1","1","1",48,"1","5","16","09",0,82768.8,103065.8,11480,21636,4628,4540,9312,4472
"27226","03206373","1","8","1","1","1",60,"2","4","15","09",0,63850,76888,3466.6668,14381.3332,960,5200,14400,1168
"27232","03232463","4","8","1","1","1",31,"2","5","15","07",0,44476,48339,1640,7529.3332,1132,80,1536,1816
"27233","03151504","3","8","1","1","1",59,"2","5","15","04",0,18212,18426,2946.6668,14366.6668,2637.3332,3280,4640,1576
"27234","03151534","1","8","1","1","4",49,"1","5","12","06",0,34410,39300,3120,7900,480,1400,4480,440
"27235","03328701","3","8","1","1","1",60,"1","3","12","08",0,51407,60000,3900,11744,1680,5444,1232,936
"27236","03151564","2","8","1","1","1",60,"1","2","13","08",0,49720,63600,3120,9640,3456,1668,4800,2060
"27240","03275672","2","8","1","1","4",63,"2","4","12","05",0,21735.2,23953.2,1888,6160,4084,1360,4544,1680
"27244","03342451","4","8","1","1","1",61,"1","3","13","08",0,50135.6,58286.6,3986.6668,6046.6668,2592,1580,18080,488
"27245","03335631","2","8","1","1","1",45,"2","5","15","09",0,69228,82404,2426.6668,18869.3332,2724,2616,13866.6672,896
"27247","03330961","3","8","1","1","4",30,"1","5","16","08",0,46442,52000,4140,14980,2872,2980,5216,2680
"27248","03275832","2","8","1","1","1",47,"2","3","13","06",0,32147,37300,1386.6668,4809.3332,2368,1540,13728,760
"27251","03251054","4","8","1","1","4",62,"1","5","15","09",0,58223.6,74517.6,6240,25268,1000,1148,480,2276
"27254","03349401","3","8","1","1","2",59,"2","3","14","09",0,60684,70000,1040,6854.6668,1512,4228,11744,496
"27255","03335771","3","8","1","1","1",59,"2","3","13","09",0,108477,148000,17680,10074.6668,1582.6668,1640,91349.3328,2184
"27269","03249122","1","8","1","1","1",33,"1","5","15","09",0,68186,80000,9280,65056,8960,3960,11024,156
"27270","03215333","3","8","1","1","4",42,"1","5","13","06",0,28252,31000,2149.3332,4864,1398.6668,1000,800,120
"27282","03343161","1","8","1","1","4",29,"2","5","15","08",0,47241,57000,5026.6668,7901.3332,320,800,7754.6672,304
"27283","03276552","4","8","1","1","4",29,"1","5","15","09",0,80830,104513,3482.6668,22690.6668,5345.3332,1520,7520,2752
"27287","03150224","4","8","1","1","1",59,"2","3","13","09",0,65742.6,78569.6,3466.6668,8592,2960,3820,26432,7564
"27288","03106004","4","8","1","1","4",43,"1","5","12","05",0,19001.6,20549.6,5380,8068,2668,2400,21120,60
"27289","03152754","3","8","1","1","4",31,"1","5","13","06",0,30946.4,36039.4,3346.6668,8968,1060,1400,1280,600
"27291","03294452","3","8","1","2","2",62,"1","3","12","07",0,36331,40500,1040,2379.3332,308,2000,480,444
"27294","03343411","4","8","1","1","1",62,"1","3","13","09",0,64124,70592,3778.6668,21661.3332,15361.3332,560,1440,672
"27296","03343451","3","8","1","1","4",27,"2","5","16","07",0,38450,45000,4366.6668,6268,3060,1664,2880,560
"27303","03341431","4","8","1","1","4",28,"2","5","15","05",0,23709,26000,5528,11916,3120,920,6080,160
"27305","03343761","4","8","1","1","4",29,"1","5","15","04",0,14587,16000,1126.6668,4280,682.6668,480,1216,240
"27306","03294854","2","8","1","2","4",44,"1","3","14","08",0,51670.4,60314.4,2080,3324,116,904,7093.3328,800
"27308","03336791","1","8","1","1","4",40,"1","4","16","09",0,116657,148000,6240,60570.6668,613.3332,2816,8448,3536
"27309","03302522","1","8","1","1","4",29,"2","5","16","08",0,44942,55000,1646.6668,6032,520,220,1920,288
"27310","03252142","4","8","1","1","4",31,"1","5","13","06",0,28871,33000,8320,19748,2736,1140,8320,2532
"27314","03277062","2","8","1","1","4",48,"1","4","15","09",0,115124,150000,4853.3332,36844,4249.3332,1360,10400,1560
"27317","03339391","3","8","1","1","1",45,"1","5","15","06",0,30329,34227,3466.6668,7629.3332,1200,3008,1920,712
"27325","03208693","3","8","1","1","4",33,"2","3","16","08",0,46832.2,56775.2,2426.6668,9200,2560,640,9600,480
"27326","03252522","2","8","1","1","1",44,"2","3","12","08",0,49176.6,57830.6,4940,13160,8196,5840,4576,1680
"27329","03164154","1","8","1","1","4",61,"1","3","12","08",0,56954,68310,1802.6668,4560,1728,396,18352,304
"27343","03146244","4","8","1","1","4",50,"2","5","12","05",0,23209.4,25384.4,3986.6668,4384,400,400,640,184
"27346","03103624","4","8","1","1","4",29,"1","5","16","09",0,67506.4,79631.4,6264,16544,5956,1864,8640,2980
"27349","03337631","1","8","1","1","4",64,"2","5","15","08",0,48479.8,60183.8,1906.6668,12230.6668,4560,944,13440,2876
"27351","03324241","4","8","1","1","1",37,"1","5","15","09",0,83875.2,104385.2,6720,27136,16500,1944,3840,5268
"27355","03237973","3","8","1","1","4",50,"1","3","12","06",0,30318,35769,1733.3332,3044,400,860,3536,1336
"27356","03209434","4","8","1","1","4",48,"2","5","16","09",0,61820,71884,3120,16900,1704,1420,4080,1704
"27357","03191083","2","8","1","1","4",39,"1","5","12","06",0,30200,35000,4160,7708,4076,2688,1472,336
"27369","03271052","2","8","1","1","1",28,"2","5","15","06",0,31837,36000,3813.3332,8416,720,1912,20288,2344
"27381","03207193","3","8","1","1","4",45,"1","3","13","07",0,39302,44000,4940,11192,1640,1328,8880,1444
"27382","03186503","1","8","1","1","2",63,"2","3","14","08",0,52442,64000,4004,11896,3488,6628,8144,2268
"27383","03340631","4","8","1","1","4",52,"1","5","15","06",0,25530,30000,5200,8924,1912,696,5696,64
"27387","03147104","4","8","1","1","2",54,"2","2","15","08",0,47941,60000,4506.6668,9068,1376,4748,8224,4004
"27388","03324831","4","8","1","1","1",58,"2","3","12","07",0,43248,48220,2688,16232,6836,2820,6224,796
"27394","03165364","1","8","1","1","1",30,"1","5","16","09",0,68315,86800,3553.3332,4616,3200,360,2394.6672,300
"27395","03331511","3","8","1","1","1",60,"2","2","16","08",0,30296,50000,3380,25180,52112,7680,19200,2336
"27398","03338661","4","8","1","1","1",47,"1","4","13","08",0,46919,55000,2149.3332,8861.3332,640,1718.6668,29472,7280
"27400","03210273","2","8","1","2","2",58,"1","5","12","08",0,49827,57874,3656,2368,6706.6668,1768,14122.6672,1428
"27405","03228443","3","8","1","1","2",50,"1","3","13","09",0,79407,101000,2426.6668,1248,800,1108,2464,592
"27406","03294282","4","8","1","1","1",28,"2","4","16","08",0,60719,65528,2253.3332,9406.6668,2044,1888,4800,1136
"27408","03212804","1","8","1","1","4",28,"1","5","16","05",0,23466,26320,3813.3332,5360,216,560,3968,760
